Dealer Name,City,FQ,Qty,Latitude,Longitude
WESTVAAL MOTOR GROUP (PTY) LTD T/A WESTVAAL AUDI M,RIVERSIDE,30,,,
WEST CAPE VOLKSWAGEN,CAPE TOWN,180,,-33.9258,18.42322
WESTVAAL GROUP,KLERKSDORP,30,,-26.8521,26.66672
WESTVAAL MOTOR HOLDINGS GROUP,KLERKSDORP,30,,-26.8521,26.66672
WESTVAAL MOTOR GROUP (PTY) LTD T/A WESTVAAL VOLKSW,MBOMBELA,30,,-25.4745,30.97033
WESTVAAL MOTOR GROUP (PTY) LTD T/A WESTVAAL VW HAZ,HAZEYVIEW,30,,,
MSE AUTO (PTY) LTD T/A WESTVAAL VOLKSWAGEN LICHTEN,LICHTENBURG,30,,-26.152,26.15968
MSE AUTO (PTY) LTD T/A WESTVAAL VOLKSWAGEN MAHIKEN,MAHIKENG,30,,-25.8652,25.64421
WESTVAAL MOTOR GROUP (PTY) LTD T/A WESTVAAL VW MAS,MASHISHING,30,,,
WESTVAAL MOTOR GROUP (PTY) LTD T/A WESTVAAL VW MBO,NELSPRUIT,30,,-25.4745,30.97033
WESTVAAL MOTOR GROUP (PTY) LTD T/A WESTVAAL VW WHI,WHITE RIVER,30,,,
O2 MOTOR COMPANY (PTY) LTD,EDENVALE,30,,,
M7 INVESTMENTS GROUP,SPRINGS,30,,,
AAD GROUP,EPPING,30,,,
AAD TRUCK & BUS,EPPING,30,,,
ABSA WHOLESALE DEPARTMENT,abcd,30,,,
ACE MOTOR GROUP,QUEENSTOWN,30,,-31.8976,26.87533
ACTION FORD & MAZDA KRUGERSDORP,KRUGERSDORP,180,,-26.0858,27.77515
ACTION FORD & MAZDA CONSTANTIA,ROODEPOORT,90,,-26.1625,27.8725
ACTION FORD NORTH WEST,LICHTENBURG,180,,-26.152,26.15968
ACTION FORD NORTH WE...,Zeerust,180,,-25.537,26.07512
ACTION FORD WES KAAP,CITRUSDAL,180,,,
ADW TRUCK SALES (PTY) LTD,DOORNKLOOF,30,,,
"AFGRI BETHAL, A DIVISION OF AFGRI GROUP HOLDINGS (",BETHAL DORP,30,,,
"AFGRI BETHLEHEM, A DIVISION OF AFGRI GROUP HOLDING",BETHLEHEM,30,,,
"AFGRI BRITS, A DIVISION OF AFGRI GROUP HOLDINGS (P",BRITS,30,,-25.6347,27.78022
AFGRI OPERATIONS - CERES OUTLET,CALEDON,30,,-34.23,19.4265
AFGRI DELMAS A DIVISION OF AFGRI GROUP HOLDINGS (P,DELMAS,30,,-26.1466,28.68322
AFGRI FRANKFORT A DIVISION OF AFGRI GROUP HOLDINGS,FRANKFORT,30,,,
AFGRI OPERATIONS CALEDON OUTLET,CENTURION,30,,-25.8589,28.18577
AFGRI OPERATIONS CALEDON OUTLET,CENTURION,30,,-25.8589,28.18577
AFGRI OPERATIONS MALMESBURY OUTLET,MALMESBURG,30,,,
AFGRI OPERATIONS MALMESBURY OUTLET,CENTURION,30,,-25.8589,28.18577
AFGRI OPERATIONS MALMESBURY OUTLET,MALMESBURG,30,,,
AFGRI OPERATIONS - PIKETBERG,PIKETBERG,30,,-32.9032,18.75704
AFGRI OPERATIONS RAWSONVILLE OUTLET 2,RAWSONVILLE,30,,,
AFGRI OPERATIONS - RAWSONVILLE OUTLET MAIN,RAWSONVILLE,30,,,
"AFGRI BELLVILLE, A DIVISION OF AFGRI GROUP HOLDING",STIKLAND,30,,,
AFGRI BLACKHEATH ON BEHALF OF AFGRI GROUP HOLDINGS,BLACKHEATH,30,,,
AFGRI CALEDON A DIVISION OF AFGRI GROUP HOLDINGS (,CALEDON,30,,-34.23,19.4265
"AFGRI CERES, A DIVISION OF AFGRI GROUP HOLDINGS (P",CERES,30,,,
AFGRI DALTON,DALTON,30,,,
AFGRI EMPANGENI,EMPANGENI,30,,-28.762,31.89329
"AFGRI GAUTENG, A DIVISION OF AFGRI GROUP HOLDINGS",KEMPTON PARK,30,,-26.1086,28.2377
AFGRI GEORGE,GEORGE,30,,-33.963,22.46173
AFGRI GREYTOWN,GREYTOWN,30,,-29.0642,30.59279
AFGRI GROUP,CENTURION,30,,-25.8589,28.18577
AFGRI KOKSTAD,KOKSTAD,30,,-30.5472,29.42412
AFGRI KOMATIPOORT,KOMATIPOORT,30,,-25.4332,31.95478
"AFGRI MALMESBURG, A DIVISION OF AFGRI GROUP HOLDIN",MALMESBURG,30,,,
AFGRI MIDDELBURG A DIVISION OF AFGRI GROUP HOLDING,MIDDELBURG,30,,-25.7751,29.46482
AFGRI NELSPUIT,NELSPRUIT,30,,-25.4745,30.97033
AFGRI NEWCASTLE,NEWCASTLE,30,,,
AFGRI PIETERMARITZBURG,PIETERMARITZBURG,30,,-29.6168,30.39278
"AFGRI PIKETBERG, A DIVISION OF AFGRI GROUP HOLDING",PIKETBERG,30,,,
AFGRI SALT ROCK,SALT ROCK,30,,-29.5021,31.23511
AFGRI SPRINGBOK A DIVISION OF AFGRI GROUP HOLDINGS,SPRINGBOK,30,,-29.6643,17.8865
AFGRI TZANEEN A DIVISION OF AFGRI GROUP HOLDINGS (,TZANEEN,30,,-23.8332,30.16351
AFGRI UNDERBERG,UNDERBERG,30,,-29.7908,29.49448
AFGRI VREDENDAL A DIVISION OF AFGRI GROUP HOLDINGS,VREDENDAL,30,,-31.6683,18.50119
AFGRI VRYHEID,VRYHEID,30,,-27.7695,30.79165
AFGRI WINTERTON,WINTERTON,30,,-28.8094,29.53192
AFGRI WORCESTER,WORCESTER,30,,,
AFGRI HOLDINGS GROUP,CENTURION,30,,-25.8589,28.18577
AFGRI OPERATIONS SKITLAND OUTLET,STIKLAND,30,,,
AFGRI OPERATIONS SKITLAND OUTLET,STIKLAND,30,,,
AFGRI OPERATIONS VREDENDAL OUTLET,VREDENDAL,30,,-31.6683,18.50119
AFGRI OPERATIONS VREDENDAL OUTLET,CENTURION,30,,-25.8589,28.18577
AFGRI OPERATIONS VREDENDAL OUTLET,VREDENDAL,30,,-31.6683,18.50119
AGG WESTRAND,ROODEPOORT,30,,-26.1625,27.8725
AFGRI GROUP HOLDINGS UMLAAS,CAMPERDOWN,30,,,
"AFGRI ERMELO, A DIVISION OF AFGRI GROUP HOLDINGS (",ERMELO,30,,-26.5333,29.98333
"AFGRI GROOTVLEI, A DIVISION OF AFGRI GROUP HOLDING",GROOTVLEI,30,,,
"AFGRI HARRISMITH, A DIVISION OF AFGRI GROUP HOLDIN",HARRISMITH,30,,-28.2728,29.12946
"AFGRI MARBLE HALL, A DIVISION OF AFGRI GROUP HOLDI",MARBLE HALL,30,,-24.9663,29.29068
"AFGRI MARQUARD, A DIVISION OF AFGRI GROUP HOLDINGS",MARQUARD,30,,-28.6645,27.43048
AGRIMARK MECHANISATION,MOOI RIVER,30,,-29.2082,29.9946
"AFGRI MIDDELBURG, A DIVISION OF AFGRI GROUP HOLDIN",MIDDELBURG,30,,-25.7751,29.46482
"AFGRI POLOKWANE, A DIVISION OF AFGRI GROUP HOLDING",POLOKWANE,30,,-23.9045,29.46885
"AFGRI PORT SHEPSTONE, A DIVISION OF AFGRI GROUP HO",PORT SHEPSTONE,30,,-30.7414,30.45499
"AFGRI STANDERTON, A DIVISION OF AFGRI GROUP HOLDIN",STANDERTON,30,,-26.9337,29.24152
"AFGRI THABAZIMBI, A DIVISION OF AFGRI GROUP HOLDIN",THABAZIMBI,30,,-24.5917,27.41155
AFGRI OPERATIONS GROUP,ASHTON,30,,,
AGRIQUIP,HEIDELBERG,30,,,
AUTO ITALIA FCA MIDDELBURG,MIDDELBURG,120,,,
ALAYSA INVESTMENTS (PTY) LTD,EMPANGENI,30,,-28.762,31.89329
ALDAN TRADING GROUP,AMANZIMTOTI,30,,,
ALBERANTE MOTORS...,New Market,14,,,
ALBERANTE MOTORS,ALBERTON,14,,,
ALBERTON MULTIFRANCHISE,ALBERTON,180,,,
ALGOA ASHOK LEYLAND HUMANSDORP,HUMANSDORP,30,,-34.029,24.76912
ALGOA BAY AUTO,PORT ELIZABETH,30,,-33.9758,25.55356
ALGOA DATSUN,HUMANSDORP,30,,,
ALGOA MAHINDRA,HUMANSDORP,30,,,
ALGOA NISSAN,HUMANSDORP,30,,,
ALGOA NISSAN GROUP,HUMANSDORP,30,,,
HINO PORT ELIZABETH,PORT ELIZABETH,180,,-33.918,25.57007
ALGOA TOYOTA PORT ELIZABETH,PORT ELIZABETH,180,,,
ALGOA TOYOTA UITENHAGE,UITENHAGE,180,,,
ALIWAL TOYOTA...,Aliwal North,60,,,
ALIWAL TOYOTA,ALIWAL NORTH,60,,,
ALIWAL ISUZU,ALIWAL NORTH,30,,-30.6937,26.71141
ALLEN JOSS MAZDA,PRETORIA,60,,-25.685,28.19319
ALM TRACTOR WORLD,SASOLBURG,30,,-26.8136,27.81695
T/A ALPINE HAVAL HILLCREST,HILLCREST,30,,-29.7748,30.76396
T/A ALPINE JAC PINETOWN,PINETOWN,30,,-29.8207,30.88674
T/A ALPINE RENAULT HILLCREST,HILLCREST,30,,-29.7748,30.76396
ALPINE JAC PINETOWN,PINETOWN,60,,-29.8207,30.88674
ALPINE MOTOR GROUP,PINETOWN,30,,,
ALPET MOTORS GROUP,GEZINA,30,,,
ALPINE RENAULT AND HAVAL HILLCREST,HILLCREST,60,,-29.7748,30.76396
AMERICAN EAGLE GROUP,TYGERVALLEY,30,,,
MOTUS CORPORATION GROUP,GERMISTON,30,,,
KEMPSTON GROUP,KEMPTON PARK,30,,-26.1086,28.2377
ANESCO TOYOTA,PAULPIETERSBURG,90,,-27.4227,30.81869
ANGELS MOTOR GROUP,CENTURION,14,,-25.8589,28.18577
APEX TRUCK & TRAILER,BOKSBURG,30,,-26.212,28.25958
ARNOLD CHATZ CARS CONSTANTIA KLOOF,FLORIDA,30,,,
ARNOLD CHATZ CONSTANTIA,JOHANNESBURG,120,,-26.2023,28.04363
ARNOLD CHATZ HYDE PARK,HYDE PARK,14,,,
,,14,,,
ASHOK LEYLAND BLOEMFONTEIN,BLOEMFONTEIN,60,,-29.1211,26.214
GROUP 1 ASHOK LEYLAND KUILSRIVER,KUILSRIVER,30,,,
ASHOK-LEYLAND KWADAKUZA,KWADAKUZA,30,,,
ASHOK LEYLAND KING WILLIAMS TOWN,KING WILLIAMS TOWN,30,,-32.8803,27.39454
ASHOK LEYLAND MOBENI,MOBENI,30,,-29.9483,30.95039
,,30,,,
PRODUKTA  ASHOK LEYLAND NELSPRUIT,NELSPRUIT,60,,-25.4745,30.97033
ATLANTIS GROUP,PRETORIA,30,,-25.7449,28.18783
ATTERBURY MOTORS,PRETORIA,30,,-25.7086,28.20192
AUDENSBERG GROUP,WORCESTER,30,,,
AUDENSBERG TOYOTA,WORCESTER,30,,,
AURINIA MOTORS,PRETORIA,30,,,
AURINIA MOTOR GROUP,PRETORIA,30,,-25.7449,28.18783
AUTOLINK...,George,30,,-33.963,22.46173
AUTOLINK,KNYSNA,30,,-34.0363,23.04713
AUTOCITY ALBERTON,ALBERTON,60,,-26.2679,28.12225
AUTOCITY ALBERTON," ALBERTON, GA   1449 GRB",60,,,
AUTO ALPINA GROUP,SPRINGS,30,,,
AUTO 1 AUTOMOTIVE GROUP,UITENHAGE,30,,-33.7576,25.3971
AUTO BALTIC,BOKSBURG,120,,-26.212,28.25958
AUTO BALTIC MIDRAND,CENTRAL PARK,120,,,
AUTO BALTIC NELSPRUIT,NELSPRUIT,120,,-25.4745,30.97033
AUTO BALTIC VOLVO LIMPOPO,POLOKWANE,120,,-23.9045,29.46885
AUTO BALTIC RUSTENBURG,RUSTENBURG,120,,-25.6676,27.24208
AUTO BASIC TRADERS,PRETORIA,30,,-25.7449,28.18783
AUTO BALTIC VEREENIGING,VEREENIGING,120,,-26.6731,27.92615
AUTOHAUS BEYERS,NORTHCLIFF,7,,,
 AUTOHAUS BEYERS...," NORTHCLIFF, GA   7200 GRB",7,,,
AUTOCITY CHERY HEIDELBERG,HEIDELBERG,60,,,
AUTO CITY CHERY NIGEL,HELDEBERG,60,,,
AUTOCITY MG HEIDELBERG,HEIDELBERG,60,,,
AUTOCORP,DOIGLASDALE,14,,,
AUTOMALL DATSUN,EAST LONDON,180,,-33.0153,27.91162
AUTO DEAL,BRAKPAN,30,,-26.2366,28.36938
AUTO ELITE,UPINGTON,30,,-28.4478,21.25612
AUTO EMPORIUM,CAPE FARMS,30,,,
AUTO EXCELLENCE,CENTURION,30,,-25.8616,28.18908
AUTO EXCELLENCE (SECONDARY ACCOUNT),KIMBERLEY,30,,-28.7323,24.76232
AUTO EXCELLENCE GROUP,KIMBERLEY,30,,-28.7323,24.76232
AUTO EXCELLENCE (MAIN ACCOUNT),KIMBERLEY,30,,-28.7323,24.76232
AUTOHAUS GOBEL GROUP,NORTHCLIFF,30,,,
AUTOHAUS GOBEL NORTHCLIFF,WINDSOR,30,,,
AUTOHAUS GOBEL NORTH...,Roodepoort,30,,-26.1625,27.8725
AUTOHAUS GOBEL NORTHCLIFF WHOLESALE GROUP,WINDSOR,30,,,
AUTOCITY HAVAL HEIDELBERG,HEIDELBERG,60,,,
AUTOCITY HAVAL HEDELBERG,HEILDEBERG,60,,,
AUTO HOUSE PIET RETIEF,PIET RETIEF,30,,-27.0071,30.81323
AUTO HOUSE VRYHEID,VRYHEID,30,,-27.7695,30.79165
AUTOCITY HYUNDAI HEIDELBERG,HEIDELBERG,60,,,
,,60,,,
AUTO INVESTMENTS GROUP,TRICHARDT,30,,,
AUTO INVESTMENTS HATFIELD,PRETORIA,30,,-25.7449,28.18783
AUTO INVESTMENTS SECUNDA,TRICHARDT,30,,,
COMBINED AUTO HOLDINGS (PTY) LTD,MIDDELBURG,30,,-25.7751,29.46482
AUTO ITALIA,GROBLERSDAL,30,,,
AUTO ITALIA,GROBLERSDAL,30,,,
AUTO ITALIA CHERY MIDDELBURG,MIDDELBURG,120,,,
AUTO ITALIA GROUP,MIDDELBURG,30,,-25.7751,29.46482
AUTO ITALIA MAHINDRA MIDDELBURG,MIDDELBURG,120,,,
AUTO ITALIA PEUGEOT/CITROEN MIDDELBURG,MIDDELBURG,120,,,
AUTO ITALIA SUZUKI MIDDELBURG,MIDDELBURG,120,,,
AUTORAMA JAC MOTORS,LADYBRAND,14,,,
AUTOCITY JETOUR ALBERTON,ALBERTON,60,,-26.2679,28.12225
AUTOCITY JETOUR ALBERETON,ALBERTON,60,,,
AUTOMALL KIA,EAST LONDON,180,,-33.0153,27.91162
AUTOCITY KIA HEIDELBERG,HEIDELBERG,60,,,
 AUTOCITY KIA HEIDELB..,"HEIDELBERG,   1441",60,,-26.5,28.35
AUTOMANIA CC,SANDTON,30,,,
AUTOMAX,PORT ELIZABETH,30,,-33.918,25.57007
INFINITE AUTO,PRETORIA,14,,-25.7449,28.18783
AUTO MOTORCYCLES,FAIRVIEW,60,,,
AUTOBAHN MOTORS,PAULPIETERSBURG,30,,,
AUTO NANTES PAARL,NOORDER PAARL,30,,-33.7047,18.96552
MOTUS BLOEMFONTEIN,FREE STATE,180,,-29.1211,26.214
JAGUAR LAND ROVER GEORGE,GEORGE,180,,-33.963,22.46173
AUTOMALL NISSAN,EAST LONDON,180,,-33.0153,27.91162
AUTOCITY FOTON ALBERTON,ALBERTON,30,,-26.2679,28.12225
AUTO MECCA,GEZINA,30,,,
AUTOTEAM,BOKSBURG,30,,-26.212,28.25958
AUTORAMA KLERKSDORP,KLERKSDORP,30,,-26.8521,26.66672
AUTO REN...,Heidelberg,90,,,
AUTO REN,HEIDELBERG,90,,,
AUTOMALL RENAULT,EAST LONDON,180,,-33.0153,27.91162
AUTOCITY RENAULT HEIDELBERG,HEIDELBERG,60,,,
AUTOCITY RENAULT HEI...,"HEIDELBERG,   1441",60,,-26.5,28.35
AUTOMALL SUBARU,EAST LONDON,180,,-33.0153,27.91162
AUTOCITY TATA HEIDELBERG,HEIDELBERG,60,,,
AUTOTOPS,GEORGE,30,,-33.963,22.46173
AVIS CAR RENTAL,ISANDO,30,,,
AVIS RENT A CAR,CROYDON,30,,,
BADGER AGRICULTURE (PTY) LTD,KNOPPIESLAAGTER,30,,,
BAIC CENTURION,CENTURION,60,,-25.8589,28.18577
BAIC CENTURY CITY,CENTURY CITY,90,,-33.8912,18.51274
BAIC KLERKSDORP,STILFONTEIN,7,,-26.8449,26.76829
BAIC KLERKSDORP," STILFONTEIN, NO   2551 GRB",7,,,
BAIC MALMESBURY,CAPE TOWN,30,,-33.9258,18.42322
HAMPSON GROUP,SCOTTBURGH,30,,-30.2867,30.75316
BAIC RUSTENBURG,RUSTENBURG,30,,-25.6676,27.24208
BARLOWORLD ARMSTRONG PIETERMARITZBURG,DURB,180,,,
BARLOWORLD GM CENTURION,HENNOPSPARK,180,,,
BARLOWORLD GM JOHANNESBURG,JOHANNESBURG,180,,-26.2023,28.04363
BARLOWORLD GM ZAMBEZI,PRETORIA,180,,-25.7449,28.18783
BARLOWORLD FIAT AND ALPHA GROUP,BLOEMFONTEIN,30,,-29.1211,26.214
BARLOWORLD - GENERAL MOTORS GROUP,ISANDO,30,,,
BARLOWORLD GM FERNDALE,CAPE TOWN,180,,-33.9258,18.42322
BARLOWORLD GROUP,ISANDO,30,,,
BARLOWORLD GROUP,ISANDO,30,,,
BARLOWORLD ISUZU JOHANNESBURG,"CITY DEEP, JOHANNESBURG",90,,-26.2023,28.04363
BARLOWORLD ITSA CITY,GERMISTON,180,,,
BARLOWORLD ITSA GROUP,ISANDO,30,,,
BARLOWORLD ITSA ZAMBEZI,PRETORIA,180,,-25.7449,28.18783
MAPONYA SOWETO TOYOTA,SOWETO,7,,,
BARLOWORLD BRUMA MAZDA,DEWETSHOF,180,,,
BARLOWORLD MAZDA BRUMA,JOHANNESBURG,180,,-26.2023,28.04363
BARLOWORLD MAZDA GROUP,JOHANNESBURG,30,,-26.2023,28.04363
BARLOWORLD MAZDA PIETERMARITZBURG,PIETERMARITZBURG,180,,-29.6168,30.39278
BARLOWORLD - NEW HOLLAND GROUP,ISANDO,30,,,
BARLOWORLD OUT OF COUNTRY GROUP,ISANDO,30,,,
NMI TOYOTA CENTURION,CENTURION,14,,,
BARLOWORLD TOYOTA GROUP,ISANDO,30,,,
NMI TOYOTA KUILSRIVER,KUILSRIVER,14,,,
BARLOWORLD TOYOTA KUILSRIVER,KUILSRIVER,30,,,
NMI TOYOTA MENLYN,"MENLOPARK, TSHWANE/PRETORIA",14,,,
BARLOWORLD TOYOTA MIDDLEBURG,MIDDELBURG,30,,,
NMI TOYOTA  MIDDELBURG,MIDDELBURG,14,,,
BARLOWORLD TOYOTA CENTURION,PRETORIA,30,,,
BARLOWORLD TOYOTA MENLYN,Pretoria,30,,,
 BARLOWORLD TOYOTA MENLYN,Storage,30,,,
NMI TOYOTA  STELLENBOSCH,STELLENBOSCH,14,,-33.9255,18.85497
BARLOWORLD TOYOTA TYGERVALLEY,TYGERVALLEY,30,,,
NMI TOYOTA TYGERVALLEY,TYGERVALLEY,14,,,
BARLOWORLD TOYOTA WITBANK,WITBANK,30,,,
NMI TOYOTA WITBANK,WITBANK,14,,,
BARNARD TRUCK GROUP,NEWCASTLE,30,,,
BARLOWORLD MAZDA PIETERMARITZBURG,PIETERMARITZBURG,90,,-29.6168,30.39278
BASIL GREEN AUTO,EDENVALE,30,,,
MAZDA EDENVALE,EDENVALE,120,,-26.141,28.15247
BATES AND JOHNSTONE MOTORS GROUP,SHELLY BEACH,30,,,
BB AUTO POLOKWANE...,Ladine Polokwane,90,,-23.9045,29.46885
BB AUTO POLOKWANE...,Polokwane,90,,-23.9045,29.46885
BB AUTO POLOKWANE,POLOKWANE,90,,-23.9045,29.46885
BB AUTO MOKOPANE,LIMPOPO,90,,-24.1944,29.00974
BB COMMERCIAL,POLOKWANE,90,,-23.9045,29.46885
BB GEZINA SUZUKI,PRETORIA,90,,-25.7449,28.18783
BB KIMBERLEY HAVAL,KIMBERLEY,90,,-28.7323,24.76232
BB KIMERLEY HYUNDAI,KIMBERLEY,90,,-28.7323,24.76232
BB KIMBERLEY MITSUBISHI,KIMBERLEY,90,,-28.7323,24.76232
BB MAZDA MOKOPANE,MOKOPANE,90,,-24.178,29.0153
BB MAZDA POLOKWANE,POLOKWANE,90,,-23.9045,29.46885
BB MAZDA TZANEEN,TZANEEN,90,,-23.8332,30.16351
BB MOUNT FUJI MAHINDRA,LOUIS TRICHARDT,90,,-23.0439,29.90319
BB SUZUKI TZANEEN,TZANEEN,90,,-23.833,30.16313
BB TRUCK AND TRACTOR SERVICES,POLOKWANE,90,,-23.9045,29.46885
BB TRUCK PRETORIA,PRETORIA,90,,-25.7449,28.18783
TZANEEN MAHINDRA,TZANEEN,90,,-23.8332,30.16351
BB WELKOM HAVAL,WELKOM,90,,-27.9774,26.73506
BB WELKOM HYUNDAI,WELKOM,90,,-27.9774,26.73506
BB WELKOM RENAULT,WELKOM,90,,-27.9774,26.73506
BB AUTO GROUP,POLOKWANE,90,,-23.9045,29.46885
BB HATFIELD MAHINDRA,HATFIELD,90,,,
BB LYDENBURG HYUNDAI,LYDENBURG,30,,-25.096,30.44393
BB MOTORS TZANEEN,TZANEEN,90,,,
 BB MOTORS TZANEEN...,Lushof farm,90,,,
BB UD TZANEEN,TZANEEN,90,,-23.8332,30.16351
BB WELKOM HYUNDAI,WELKOM,90,,-27.9774,26.73506
BB MOUNT FUJI,MAKHADO,90,,-23.0176,29.79838
BB CHERY LIMPOPO,LOUIS TRICHARDT,90,,-23.0439,29.90319
BB MENLYN MAHINDRA,GARSFONTEIN,90,,,
BB TRUCK MIDDELBURG,MIDDELBURG,90,,,
BB SUZUKI POLOKWANE,POLOKWANE,90,,-23.9045,29.46885
SOUTHERN MOTORS BEDFORDVIEW (PTY) LTD,BEDFORDVIEW,90,,,
BEER TREKKERS CC,PORT ELIZABETH,30,,-33.918,25.57007
BEN MORGENROOD GROUP,RANDFONTEIN,30,,-26.1844,27.70203
BEN MORGENROOD MAZDA,RANDFONTEIN,14,,-26.1844,27.70203
BERGVILLE NEW HOLLAND,BERGVILLE,30,,,
BESTERS AUTO,VICTORIA WEST,30,,-31.4036,23.11461
 BESTERS AUTO,"De Aar, NC, 7000",30,,,
BESSIE BESTER MOTORS,BRACKENFELL,14,,,
BESTBIER SAW MILLS CC,BLOEMFONTEIN,30,,-29.1211,26.214
BETHLEHEM AUTO...,"Harrismith,",30,,-28.2728,29.12946
BETHLEHEM AUTO...,Ficksburg,30,,,
BETHLEHEM AUTO,BETHLEHEM,30,,-28.2331,28.29783
MORGAN NISSAN BETHLEHEM,HARRISMITH,60,,-28.2728,29.12946
MORGAN NISSAN BETHLEHEM,HARRISMITH,60,,-28.2728,29.12946
MORGAN NISSAN BETHLE...,Bethlehem,60,,,
AUTO INVESTMENTS RUSTENBURG,RUSTENBURG,7,,-25.6676,27.24208
BHBW SA PTY LTD - BOTHAVILLE,BOTHVILLE,30,,,
BHBW SA GROUP,BOTHVILLE,30,,,
BHBW SA PTY LTD - HOOPSTAD,HOOPSTAD,30,,-27.8327,25.90833
BLUU CAR RENTAL (PTY) LTD WB,ISANDO,180,,,
BIDVEST MCCARTHY BAIC RANDBURG,RANDBURG,30,,-26.0941,28.00123
BIDVEST MCCARTHY ISUZU TRUCK CENTRE,PRETORIA EAST,180,,-25.7449,28.22903
BIDVEST MCCARTHY JAC GERMISTON,GERMISTON,180,,-26.2348,28.17665
BIDVEST MCCARTHY JAC PAROW,PAROW,30,,-33.8972,18.59992
BIDVEST MCCARTHY JETOUR PAARL A DIVISION OF MCCART,PAARL,180,,,
BIDVEST MCCARTHY JMC GATEWAY,UMHLANGA RIDGE,30,,,
BIDVEST MCCARTHY JMC WOODMEAD,JOHANNESBURG,180,,-26.2023,28.04363
BIDVEST MCCARTHY MAHINDRA THE GLEN A DIVISION OF M,JOHANNESBURG,180,,-26.2023,28.04363
BIDVEST MCCARTHY MAHINDRA WORCESTER A DIVISION OF,WORCESTER,180,,,
BIDVEST MCCARTHY T/A FAW,GERMISTON,180,,,
BIDVEST MCCARTHY FOTON MELROSE,JOHANNESBURG,30,,-26.2023,28.04363
MCCARTHY (PTY) LIMITED T/A BIDVEST MCCARTHY JETOUR,MELROSE,180,,,
MCCARTHY (PTY) LIMITED T/A BIDVEST MCCARTHY JETOUR,WOODMEAD,180,,,
MCCARTHY (PTY) LIMITED T/A BIDVEST MCCARTHY MAHIND,RANDBURG,180,,,
BIDVEST MCCARTHY MAHINDRA GERMISTON,JOHANNESBURG,30,,-26.2023,28.04363
BIDVEST MCCARTHY MAHINDRA GROUP,RANDBURG,30,,,
MCCARTHY (PTY) LIMITED T/A BIDVEST MCCARTHY SUZUKI,GROBLERSDAL,180,,,
BI-RITE,FOURWAYS,30,,,
BLOEMFONTEIN MULTIFRANCHISE,BLOEMFONTEIN,90,,-29.1211,26.214
BLUE DOT GROUP,PAARL,30,,,
BOLAND MOTOR GROUP,PAARL,30,,,
BOLAND ISUZU (NEW),PAARL,30,,,
BOSVELD MOTORS GROUP,LEPHALALE,30,,,
BOSVELD MOTORS ISUZU,LEPHALALE,30,,,
BOSVELD MOTORS SUZUKI,LEPHALALE,30,,,
BOTTARI GROUP,NIGEL,30,,-26.4314,28.47713
BOTTARI GROUP,NIGEL,30,,-26.4314,28.47713
BOUDEL MOTOR GROUP,PAARL,30,,,
BR DIENSTE - BETHLEHEM OUTLET,BETHLEHEM,30,,,
BR DIENSTE - FRANKFORT OUTLET,FRANKFORT,30,,,
BR DIENSTE - FRANKFORT OUTLET,BETHLEHEM,30,,,
BR DIENSTE GROUP,REITZ,30,,-27.8014,28.42726
BR DIENSTE - HARRISMITH OUTLET,HARRISMITH,30,,-28.2728,29.12946
BR DIENSTE - HARRISMITH OUTLET,HARRISMITH,30,,-28.2728,29.12946
BR DIENSTE - HARRISMITH OUTLET,BETHLEHEM,30,,,
BR DIENSTE - LADYBRAND OUTLET,LADYBRAND,30,,-29.1945,27.45739
BR DIENSTE - LADYBRAND OUTLET,BETHLEHEM,30,,,
BR DIENSTE - LADYBRAND OUTLET,BETHLEHEM,30,,,
BR DIENSTE - REITZ OUTLET,REITZ,30,,-27.8014,28.42726
BR DIENSTE - REITZ OUTLET,BETHLEHEM,30,,,
BR DIENSTE - REITZ OUTLET,BETHLEHEM,30,,,
BRAND FORD & MAZDA,VREDENDAL,60,,-31.6683,18.50119
BRAMAR AUTO,BOKSBURG,30,,-26.212,28.25958
BRAND MOTOR GROUP,VREDENDAL,60,,-31.6683,18.50119
BRAZEN MOTORS GROUP,BRITS,30,,,
BRACKENFELL MULTIFRANCHISE,BRACKENFELL,90,,,
BRAND NISSAN,VREDENDAL,60,,-31.6683,18.50119
BR DIENSTE...," Reitz, 9810",30,,-27.8,28.4333
BR DIENSTE...,"Frankfort, 9830",30,,-27.2833,28.5
BR DIENSTE,BETHLEHEM,30,,,
 BR DIENSTE...," Ladybrand, 9745",30,,-29.2,27.45
 BR DIENSTE...,"Harrismith, 9880",30,,-28.2833,29.1333
MOTUS TOYOTA PARKTOWN,FORDSBURG,180,,,
BRITS AUTO GROUP (PTY) LTD,BRITS,60,,-25.6347,27.78022
BRITS FORD AND MAZDA,BRITS,30,,-25.6347,27.78022
NEW ORDER INVESTMENTS 46 (PTY) LTD T/A BRITS NISSA,BRITS,60,,-25.6347,27.78022
BRIAN THOMPSON GROUP,PORT SHEPSTONE,30,,-30.7414,30.45499
BRISKTRADE GROUP,KNYSNA,30,,-34.0363,23.04713
BROKENSHAS,ESTCOURT,30,,,
RENAULT BRONKHORSTSPRUIT,BRONKHORSTSPRUIT,30,,-25.8102,28.74248
BRUMA NISSAN,PARK MEADOWS,30,,,
BUFFALO MOTORS,CENTURION,30,,,
BUFFALO TOYOTA,KING WILLIAMS TOWN,180,,,
BUFFALO TOYOTA EAST LONDON,EAST LONDON,180,,,
